'CPU_freq,CPU_cores_percent,temperature,CPU_core_demand,RAM_demand,Time,CPU_freq,CPU_cores_percent,memory,CPU_cores_percent_used,instructions,cycles,time,temperature,CPU_core_demand,RAM_demand,cpi,swap'
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,30.0,0.794,50914897005.0,15985661252.0,16.8193729,50.0,1.1,25.0,0.313968252757737,4620.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,35.0,0.8,50693233649.0,15199241398.0,15.883249534,51.0,1.1,25.0,0.29982781337721603,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,40.0,0.799,50552097647.0,15260017835.0,15.957806205999999,50.0,1.1,25.0,0.301867153793678,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,45.0,0.8,52101608133.0,16162738768.0,16.885474875,50.0,1.1,25.0,0.31021573704100003,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,0.8,50.0,0.7979999999999999,50675787000.0,15087158351.0,15.80402596,50.0,1.1,25.0,0.297719270763372,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,20.0,0.847,50793891399.0,15601515996.0,15.399004128,50.0,1.1,25.0,0.30715339121088003,17920.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,25.0,0.88,50844495583.0,15326654053.0,14.556783821,50.0,1.1,25.0,0.301441756423373,14604.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,30.0,0.975,50743661456.0,15462774810.0,13.254777759000001,50.0,1.1,25.0,0.304723277081765,6144.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,35.0,0.9990000000000001,50928210344.0,15318712120.0,12.818319443,52.0,1.1,25.0,0.30079030887847996,1548.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,40.0,0.997,50854052699.0,15250550369.0,12.776288279000001,50.0,1.1,25.0,0.299888594115919,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,45.0,0.997,49744380119.0,14686498966.0,12.303639975,51.0,1.1,25.0,0.295239360323045,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.0,50.0,0.993,50705359298.0,15366407620.0,12.926795163,51.0,1.1,25.0,0.30305292838357,0.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,20.0,0.7859999999999999,50979136646.0,15665200932.0,16.663714117999998,49.0,1.1,25.0,0.30728650900425,24320.0
600.0,40.0,47616.0,1.1,25.0,778.5583333,1200.0,1.2,25.0,0.903,50844750498.0,15308335564.0,14.16639622,51.0,1.1,25.0,0.30107996231788203,12544.0
